postal_code,building_name,location_description,latitude,longitude
521149,,Level 1 Lift Lobby D,1.35140199155209,103.942727273621
521151,,Level 1 Lift Lobby D,1.35140047388047,103.943793356408
520887,887 Tampines Grove,Level 1 Lift Lobby A,1.35046411304959,103.931896396161
520888,888 Tampines Grove,Level 1 Lift Lobby A,1.35090347766615,103.931049949489
520889,889 Tampines Grove,Level 1 Lift Lobby A,1.34991348311537,103.931049462008
520891,,Level 1 Lift Lobby A,1.34920948684933,103.931126953177
521893,,Level 1 Lift Lobby A,1.34823505007642,103.93068020188
520892,,Level 1 Lift Lobby A,1.34901282859006,103.929242816227
520894,894 Tampines Grove,Level 1 Lift Lobby A,1.34860420057258,103.931922138374
521895,895A Tampines Grove,Level 1 Lift Lobby A,1.34767895311776,103.932456598668
520896,896 Tampines Grove,Level 1 Lift Lobby A,1.34830327385557,103.932451735683
520922,922 Tampines Palmspring,Level 1 Lift Lobby B,1.3474951052091,103.940762770964
520926,926 Tampines Palmspring,Level 1 Lift Lobby C,1.34601425203044,103.940985246396
520935,935 Tampines Palmspring,Level 1 Lift Lobby D,1.34574577748224,103.941348203942
520932,932 Tampines Palmspring,Level 1 Lift Lobby C,1.3456002103285,103.939441311085
677741,Zhenghua Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),,
677741,Zhenghua Secondary School,Level 2 Outside School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),,
677741,Zhenghua Secondary School,Level 1 ISH (Available During School Operating Hours. Approach Security Officer At Main Gate),,
677741,Zhenghua Secondary School,Level 1 Blk E Staircase Near School Field (Available During School Operating Hours. Approach Security Officer At Main Gate.),,
644648,,Level 1 Lift Lobby A,1.33943036999687,103.697683971767
659762,Keming Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.34552849960874,103.756449399351
659762,Keming Primary School,Level 1 Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.34552849960874,103.756449399351
659762,Keming Primary School,Level 4 Inside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.34552849960874,103.756449399351
659762,Keming Primary School,Level 2 Inside School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.34552849960874,103.756449399351
460003,,Level 1 Lift Lobby B,1.32191533930821,103.933180861675
460005,,Level 1 Lift Lobby C,1.32219157915726,103.934399264462
460008,,Level 1 Lift Lobby A,1.32284176978435,103.936046815062
460015,,Level 1 Lift Lobby C,1.32090966739298,103.935541944296
464010,,Level 1 Lift Lobby B,1.3216200934601,103.937040959341
460031,,Level 1 Lift Lobby A,1.32301474306803,103.938165236776
460037,37 Bedok South Parkview,Level 1 Lift Lobby A,1.32190663617287,103.939847213862
460043,43 Bedok South Parkview,Level 1 Lift Lobby C,1.32154128092741,103.94159328974
461063,,Level 1 Lift Lobby B,1.32378410132248,103.939938951727
460065,,Level 1 Lift Lobby A,1.32467852779302,103.939770313241
460028,,Level 1 Lift Lobby D,1.32369451969703,103.934994919422
460020,,Level 1 Lift Lobby A,1.31995205858356,103.933718160998
461010,,Level 1 Lift Lobby A,1.32235386630343,103.936183263112
737916,Admiralty Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate),1.44589068910993,103.802398196596
737916,Admiralty Secondary School,Level 1 Lift Lobby (Available During School Operating Hours. Approach Security Officer At Main Gate),1.44589068910993,103.802398196596
737916,Admiralty Secondary School,Level 2 Outside School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate),1.44589068910993,103.802398196596
760290,,Level 1 Outside Nee Soon Town Council Main Office,1.43606266266361,103.836163110282
760751,751 Nee Soon Central Green,Level 1 Outside Nee Soon Town Council Nee Soon Central Branch,1.42761188817552,103.834268383036
760845,845 Khatib Central,Level 1 Nee Soon Town Council Near Letter Box,1.4160188050375,103.835000766612
307987,Revenue House,Level 12 Lift Lobby,1.31978249878705,103.842142960008
430005,5 Haig View,Level 1 Outside Geylang Serai RC,1.31258917369124,103.896591193187
400415,,Level 1 Eunos Village RC (Lift Lobby A),1.31822661859534,103.897854941374
360015,,Level 1 Outside Joo Seng RC,1.33550132176622,103.880231498548
507102,,Level 1 Singapore Aero Engine Services (Production Floor),1.37608685665011,103.975664708223
90008,,Level 1 Lift Lobby B,1.39200512922519,103.907127505181
90011,Market and Hawker Centre (Blk 11 Telok Blangah Crescent),Level 1 Opp Blk 12 Coffee Shop,1.29711286397907,103.869248205219
90012,,Level 1 Lift Lobby A,1.39200512922519,103.907127505181
90013,13 Mount Faber View,Level 1 Lift Lobby B,1.39200512922519,103.907127505181
90022,,Level 1 Lift Lobby B,1.3091316668874,103.891799999957
90026,,Level 1 Lift Lobby A,1.3091316668874,103.891799999957
90024,24 Mount Faber View,Level 1 Lift Lobby C,1.39200512922519,103.907127505181
90028,,Level 1 Lift Lobby A,1.3091316668874,103.891799999957
90032,,Level 1 Lift Lobby A,1.3091316668874,103.891799999957
90034,,Level 1 Lift Lobby D,1.3091316668874,103.891799999957
90037,,Level 1 Lift Lobby A,1.39200512922519,103.907127505181
